    ---------------------------------------------------------------------------
                                                                          
    * Data units = mm                            
    * TOP/BOTTOM	REFDES	PCB_x	PCB_y	ROTATION	VALUE	FOOTPRINT
   SMD_TOP	C11	18.125000	17.000000	0.0	560PF	CC1608
   SMD_TOP	C12	3.500000	23.000000	180.0	100NF	CC1608
   SMD_TOP	C13	15.000000	35.000000	180.0	47NF	CC2012
   SMD_TOP	C15	54.000000	31.000000	0.0	2_2UF	CC2012
   SMD_TOP	C16	12.300000	24.000000	0.0	TCSCS1C685MAAR	TC3216
   SMD_TOP	C17	36.450000	9.300000	0.0	15PF	CC1608
   SMD_TOP	C18	35.500000	18.000000	0.0	100NF	CC1608
   SMD_TOP	C19	40.350000	9.300000	180.0	15PF	CC1608
   SMD_TOP	C20	54.000000	27.000000	0.0	TCSCS1C685MAAR	TC3216
   SMD_TOP	C27	40.000000	37.500000	0.0	100NF	CC1608
   SMD_TOP	C37	38.400000	25.800000	0.0	680NF	CC1608
   SMD_TOP	C39	54.000000	17.000000	180.0	2_2UF	CC1608
   SMD_TOP	C47	39.250000	16.500000	180.0	100NF	CC1608
   SMD_TOP	C48	27.300000	8.100000	0.0	100NF	CC1608
   SMD_TOP	C49	14.250000	2.000000	0.0	100NF	CC1608
   SMD_TOP	C50	27.300000	6.600000	0.0	4_7UF	CC1608
   SMD_TOP	C51	7.350000	11.400000	180.0	2_2UF	CC1608
   SMD_TOP	C52	18.750000	9.000000	180.0	100NF	CC1608
   SMD_TOP	C53	36.000000	14.500000	90.0	100NF	CC1608
   SMD_TOP	C54	54.000000	22.000000	0.0	100NF	CC1608
   SMD_TOP	C55	54.000000	24.000000	180.0	100NF	CC1608
   SMD_TOP	C7	11.000000	33.000000	0.0	200PF	CC1608
   SMD_TOP	C8	11.000000	27.250000	0.0	680PF	CC1608
   SMD_TOP	C9	7.250000	19.500000	90.0	1NF	CC1608
   SMD_TOP	D1	12.500000	18.500000	270.0	BAT54	BAT54
   SMD_TOP	D11	54.000000	29.000000	0.0	MMSD4148T1G	SOD-123
   SMD_TOP	D15	37.800000	29.250000	270.0	MMSD4148T1G	SOD-123
   SMD_TOP	D16	40.600000	34.200000	270.0	MMSD4148T1G	SOD-123
   SMD_TOP	D17	36.000000	32.750000	0.0	MMSD4148T1G	SOD-123
   SMD_TOP	D2	7.250000	16.000000	0.0	BAT54	BAT54
   SMD_TOP	D5	39.875000	29.250000	270.0	MMSD4148T1G	SOD-123
   SMD_TOP	FB1	55.500000	14.750000	270.0	BLM18HE152SN1	BEAD1608
   SMD_TOP	Q1	7.000000	36.000000	0.0	MMBT3906	SOT23
   SMD_TOP	Q10	15.000000	44.000000	0.0	MMBT3904	SOT23
   SMD_TOP	Q3	19.000000	44.000000	0.0	MMBT3904	SOT23
   SMD_TOP	Q4	3.000000	36.000000	180.0	MMBT3904	SOT23
   SMD_TOP	Q5	11.000000	44.000000	0.0	MMBT3904	SOT23
   SMD_TOP	Q6	7.000000	44.000000	0.0	MMBT3904	SOT23
   SMD_TOP	Q7	11.000000	36.000000	0.0	MMBT3904	SOT23
   SMD_TOP	Q8	42.150000	22.950000	0.0	ZXTN04120HF_SOT23F	SOT23
   SMD_TOP	Q9	46.000000	35.000000	270.0	MMBT3904	SOT23
   SMD_TOP	R1	18.125000	18.500000	0.0	510K	RC1608
   SMD_TOP	R10	39.600000	23.400000	270.0	1K	RC1608
   SMD_TOP	R11	8.000000	33.000000	0.0	1M	RC1608
   SMD_TOP	R13	6.500000	23.000000	0.0	1M	RC1608
   SMD_TOP	R15	14.000000	33.000000	180.0	10K	RC1608
   SMD_TOP	R16	11.000000	28.750000	0.0	10K	RC1608
   SMD_TOP	R2	45.750000	23.700000	180.0	15	RC2012
   SMD_TOP	R20	16.000000	32.250000	90.0	3_9K	RC1608
   SMD_TOP	R22	2.750000	26.500000	90.0	10K	RC1608
   SMD_TOP	R24	2.750000	29.500000	270.0	10K	RC1608
   SMD_TOP	R25	11.000000	39.000000	180.0	200	RC1608
   SMD_TOP	R28	46.950000	31.950000	0.0	360K	RC1608
   SMD_TOP	R3	7.000000	39.000000	0.0	47K	RC1608
   SMD_TOP	R31	43.950000	31.950000	0.0	100K	RC1608
   SMD_TOP	R32	43.000000	35.000000	90.0	100K	RC1608
   SMD_TOP	R33	49.000000	35.000000	90.0	47K	RC1608
   SMD_TOP	R37	46.000000	47.000000	0.0	3_3K	RC2012
   SMD_TOP	R38	11.000000	41.000000	180.0	2_7K	RC1608
   SMD_TOP	R40	7.000000	41.000000	180.0	3K	RC1608
   SMD_TOP	R41	46.000000	45.000000	0.0	3_3K	RC2012
   SMD_TOP	R42	18.125000	12.000000	180.0	10K	RC1608
   SMD_TOP	R43	40.000000	42.000000	180.0	4_7K	RC1608
   SMD_TOP	R44	19.000000	41.000000	180.0	2_7K	RC1608
   SMD_TOP	R45	40.000000	40.500000	0.0	4_7K	RC1608
   SMD_TOP	R46	15.000000	41.000000	180.0	3K	RC1608
   SMD_TOP	R47	52.000000	40.250000	0.0	4_7K	RC1608
   SMD_TOP	R48	40.000000	43.500000	0.0	10	RC1608
   SMD_TOP	R49	40.000000	39.000000	0.0	10	RC1608
   SMD_TOP	R50	52.000000	41.750000	0.0	4_7K	RC1608
   SMD_TOP	R51	10.350000	11.400000	0.0	200K	RC1608
   SMD_TOP	R52	27.300000	5.100000	180.0	0	RC1608
   SMD_TOP	R53	27.300000	3.600000	180.0	0	RC1608
   SMD_TOP	R54	18.750000	4.000000	0.0	4_7K	RC1608
   SMD_TOP	R55	18.125000	13.750000	180.0	4_7K	RC1608
   SMD_TOP	R56	18.125000	15.500000	180.0	4_7K	RC1608
   SMD_TOP	R57	18.750000	7.250000	0.0	4_7K	RC1608
   SMD_TOP	R58	18.750000	5.750000	0.0	4_7K	RC1608
   SMD_TOP	R59	42.500000	14.500000	90.0	4_7K	RC1608
   SMD_TOP	R6	3.000000	41.000000	0.0	10K	RC1608
   SMD_TOP	R7	3.000000	39.000000	0.0	10K	RC1608
   SMD_TOP	R8	45.750000	21.900000	180.0	15	RC2012
   SMD_TOP	TP10	7.250000	21.500000	0.0	B+	TP
   SMD_TOP	TP11	15.600000	19.650000	0.0	B+	TP
   SMD_TOP	TP6	17.500000	33.000000	0.0	B+	TP
   SMD_TOP	TP7	2.250000	42.500000	0.0	B+	TP
   SMD_TOP	TP8	17.500000	35.000000	0.0	B+	TP
   SMD_TOP	TP9	10.250000	30.250000	0.0	B+	TP
   SMD_TOP	U13	46.000000	41.000000	90.0	SN65176BD_DNI	SOP8_3_9_6_1_27
   SMD_TOP	U14	13.500000	5.000000	90.0	PCA9306	TSSOP8_2_8_4_0_65
   SMD_TOP	U15	54.000000	19.500000	90.0	TPS73533QDRBRQ1	QFN8_3_0_65
   SMD_TOP	U16	23.000000	5.000000	270.0	MMA8451Q	QFN16_3_0_5
   SMD_TOP	U17	39.250000	14.500000	270.0	TXS0102-Q1	TSSOP8_2_3_3_1_0_5
   SMD_TOP	U2	6.500000	28.000000	180.0	TL072ID	SOP8_3_9_6_1_27
   SMD_TOP	U3	46.000000	28.000000	90.0	LP2951D	SOP8_3_9_6_1_27
   SMD_TOP	U5	27.000000	15.000000	90.0	ATMEGA48V-10AU	QFP32_7_9_0_8
   SMD_TOP	Y4	38.450000	5.650000	0.0	SX-1_8MHZ_	SX-1
  SMD_BOTTOM	D10	41.000000	13.000000	0.0	JSL_3528PGC	JSL-3528_ALT
  SMD_BOTTOM	D14	45.000000	41.000000	90.0	JSL_3528PGC	JSL-3528_ALT
  SMD_BOTTOM	D18	17.000000	45.000000	0.0	JSL_3528PGC	JSL-3528_ALT
  SMD_BOTTOM	D19	13.000000	17.000000	270.0	JSL_3528PGC	JSL-3528_ALT
  SMD_BOTTOM	D6	41.000000	45.000000	0.0	JSL_3528URC	JSL-3528_ALT
  SMD_BOTTOM	D7	45.000000	17.000000	90.0	JSL_3528URC	JSL-3528_ALT
  SMD_BOTTOM	D8	17.000000	13.000000	0.0	JSL_3528URC	JSL-3528_ALT
  SMD_BOTTOM	D9	13.000000	41.000000	270.0	JSL_3528URC	JSL-3528_ALT
 DIP_TOP	H1	6.500000	51.500000	0.0	PCB_HOLE	HOLE3_2
 DIP_TOP	H2	51.500000	51.500000	0.0	PCB_HOLE	HOLE3_2
