    * Data units = mm                            ,,,,,,
,,,,,,
    * TOP/BOTTOM,REFDES,PCB_x,PCB_y,ROTATION,VALUE,FOOTPRINT
    ---------------------------------------------------------------------------,,,,,,
   SMD_TOP,C11,18.125,17,0,560pF,CC1608
   SMD_TOP,C12,3.5,23,180,100nF,CC1608
   SMD_TOP,C18,35.5,18,0,100nF,CC1608
   SMD_TOP,C56,25.75,31.5,0,100nF,CC1608
   SMD_TOP,C13,15,35,180,47nF,CC2012
   SMD_TOP,C15,52.5,27.25,180,2.2uF,CC2012
   SMD_TOP,C16,12.3,24,0,TCSCS1C685MAAR,TC3216
   SMD_TOP,C20,47.5,27.25,0,TCSCS1C685MAAR,TC3216
   SMD_TOP,C17,36.45,9.3,0,15pF,CC1608
   SMD_TOP,C19,40.35,9.3,180,15pF,CC1608
   SMD_TOP,C7,11,33,0,200pF,CC1608
   SMD_TOP,C8,11,27.25,0,680pF,CC1608
   SMD_TOP,C9,7.25,19.5,90,1nF,CC1608
   SMD_TOP,D1,12.5,18.5,270,BAT54,BAT54
   SMD_TOP,D2,7.25,16,0,BAT54,BAT54
  SMD_BOTTOM,D10,41,13,0,JSL_3528PGC,JSL-3528_ALT
  SMD_BOTTOM,D14,45,41,90,JSL_3528PGC,JSL-3528_ALT
  SMD_BOTTOM,D18,17,45,180,JSL_3528PGC,JSL-3528_ALT
  SMD_BOTTOM,D19,13,17,270,JSL_3528PGC,JSL-3528_ALT
   SMD_TOP,D11,47.25,24.5,0,MMSD4148T1G,SOD-123
   SMD_TOP,D15,45.5,48.75,270,MMSD4148T1G,SOD-123
   SMD_TOP,D16,41.5,48.75,90,MMSD4148T1G,SOD-123
   SMD_TOP,D17,47.75,47,90,MMSD4148T1G,SOD-123
   SMD_TOP,D5,43.5,48.75,270,MMSD4148T1G,SOD-123
  SMD_BOTTOM,D6,41,45,180,JSL_3528URC,JSL-3528_ALT
  SMD_BOTTOM,D7,45,17,90,JSL_3528URC,JSL-3528_ALT
  SMD_BOTTOM,D8,17,13,0,JSL_3528URC,JSL-3528_ALT
  SMD_BOTTOM,D9,13,41,270,JSL_3528URC,JSL-3528_ALT
 DIP_TOP,H1,6.5,51.5,0,PCB_HOLE,HOLE3_2
 DIP_TOP,H2,51.5,51.5,0,PCB_HOLE,HOLE3_2
 DIP_TOP,H3,6.5,6.5,0,PCB_HOLE,HOLE3_2
 DIP_TOP,H4,51.5,6.5,0,PCB_HOLE,HOLE3_2
DIP_BOTTOM,J3,19.5,33,270,A2001-WV03,A2001-WV03
   SMD_TOP,Q1,7,36,0,MMBT3906,SOT23
   SMD_TOP,Q10,15,44,0,MMBT3904,SOT23
   SMD_TOP,Q3,19,44,0,MMBT3904,SOT23
   SMD_TOP,Q4,3,36,180,MMBT3904,SOT23
   SMD_TOP,Q5,11,44,0,MMBT3904,SOT23
   SMD_TOP,Q6,7,44,0,MMBT3904,SOT23
   SMD_TOP,Q7,11,36,0,MMBT3904,SOT23
   SMD_TOP,Q9,39,42,180,MMBT3904,SOT23
   SMD_TOP,R1,18.125,18.5,0,510K,RC1608
   SMD_TOP,R10,48.75,38,180,1K,RC1608
   SMD_TOP,R60,26.5,51,180,1K,RC1608
   SMD_TOP,R62,26.5,48.5,180,1K,RC1608
   SMD_TOP,R64,26.5,46,180,1K,RC1608
   SMD_TOP,R66,26.5,43.5,180,1K,RC1608
   SMD_TOP,R68,26.5,41.25,180,1K,RC1608
   SMD_TOP,R70,26.5,39.25,180,1K,RC1608
   SMD_TOP,R72,26.5,36,180,1K,RC1608
   SMD_TOP,R74,26.5,33.5,180,1K,RC1608
   SMD_TOP,R11,8,33,0,1M,RC1608
   SMD_TOP,R13,6.5,23,0,1M,RC1608
   SMD_TOP,R15,14,33,180,10K,RC1608
   SMD_TOP,R16,11,28.75,0,10K,RC1608
   SMD_TOP,R22,2.75,26.5,90,10K,RC1608
   SMD_TOP,R24,2.75,29.5,270,10K,RC1608
   SMD_TOP,R42,19.5,14.5,180,10K,RC1608
   SMD_TOP,R6,3,41,0,10K,RC1608
   SMD_TOP,R7,3,39,0,10K,RC1608
   SMD_TOP,R2,53.25,41.25,270,15,RC2012
   SMD_TOP,R8,55.25,41.25,270,15,RC2012
   SMD_TOP,R20,16,32.25,90,100K,RC1608
   SMD_TOP,R31,53.25,33,90,100K,RC1608
   SMD_TOP,R32,39.75,47.25,270,100K,RC1608
   SMD_TOP,R25,11,39,180,200,RC1608
   SMD_TOP,R28,51.75,33,270,360K,RC1608
   SMD_TOP,R3,7,39,0,47K,RC1608
   SMD_TOP,R33,39,39,180,47K,RC1608
   SMD_TOP,R38,11,41,180,2.7K,RC1608
   SMD_TOP,R44,19,41,180,2.7K,RC1608
   SMD_TOP,R40,7,41,180,3K,RC1608
   SMD_TOP,R46,15,41,180,3K,RC1608
   SMD_TOP,R61,29.5,51,180,4.7K,RC1608
   SMD_TOP,R63,29.5,48.5,180,4.7K,RC1608
