    ---------------------------------------------------------------------------
                                                                           
    * Data units = mm                            
    * TOP/BOTTOM	REFDES	PCB_x	PCB_y	ROTATION	VALUE	FOOTPRINT
   SMD_TOP	C1	28.000000	17.000000	90.0	10UF	TC3528
   SMD_TOP	C10	62.625000	12.250000	180.0	15pF	CC1608
   SMD_TOP	C11	35.500000	10.500000	0.0	100nF	CC1608
   SMD_TOP	C12	50.250000	12.250000	0.0	15pF	CC1608
   SMD_TOP	C13	20.000000	5.000000	0.0	100nF	CC1608
   SMD_TOP	C14	19.500000	16.000000	0.0	100nF	CC1608
   SMD_TOP	C15	23.500000	11.500000	180.0	100nF	CC1608
   SMD_TOP	C16	16.500000	16.000000	0.0	100nF	CC1608
   SMD_TOP	C17	14.000000	16.500000	270.0	100nF	CC1608
   SMD_TOP	C2	50.750000	7.000000	180.0	100nF	CC1608
   SMD_TOP	C3	35.500000	9.000000	0.0	100nF	CC1608
   SMD_TOP	C4	50.750000	8.500000	180.0	100nF	CC1608
   SMD_TOP	C5	25.250000	16.500000	90.0	1uF	CC2012
   SMD_TOP	C6	23.500000	16.500000	90.0	100nF	CC1608
   SMD_TOP	C7	22.000000	16.500000	90.0	1nF	CC1608
   SMD_TOP	C8	30.500000	3.000000	0.0	TCSCS1C685MAAR	CC3216
   SMD_TOP	C9	20.000000	3.000000	0.0	2.2uF	CC2012
   SMD_TOP	D1	25.000000	3.000000	180.0	MMSD4148T1G	SOD-123
   SMD_TOP	FB1	31.500000	16.500000	270.0	BLM41PG181SN1	BEAD4516
   SMD_TOP	FB2	34.500000	16.500000	270.0	BLM41PG181SN1	BEAD4516
   SMD_TOP	R1	37.000000	3.000000	180.0	10K	RC1608
   SMD_TOP	R10	79.500000	8.000000	90.0	330	RC1608
   SMD_TOP	R11	89.500000	8.000000	90.0	330	RC1608
   SMD_TOP	R12	13.000000	3.750000	270.0	0	RC1608
   SMD_TOP	R13	11.500000	3.750000	270.0	0	RC1608
   SMD_TOP	R14	99.500000	8.000000	90.0	330	RC1608
   SMD_TOP	R15	109.500000	8.000000	90.0	330	RC1608
   SMD_TOP	R16	119.500000	8.000000	90.0	330	RC1608
   SMD_TOP	R17	129.500000	8.000000	90.0	330	RC1608
   SMD_TOP	R18	139.500000	8.000000	90.0	330	RC1608
