    * Data units = mm                            
                                                                           
    * TOP/BOTTOM	REFDES	PCB_x	PCB_y	ROTATION	VALUE	FOOTPRINT
    ---------------------------------------------------------------------------
   SMD_TOP	C11	18.125000	17.000000	0.0	560pF	CC1608
   SMD_TOP	C12	3.500000	23.000000	180.0	100nF	CC1608
   SMD_TOP	C18	35.500000	18.000000	0.0	100nF	CC1608
   SMD_TOP	C56	25.750000	31.500000	0.0	100nF	CC1608
   SMD_TOP	C13	15.000000	35.000000	180.0	47nF	CC2012
   SMD_TOP	C15	52.500000	27.250000	180.0	2.2uF	CC2012
   SMD_TOP	C16	12.300000	24.000000	0.0	TCSCS1C685MAAR	TC3216
   SMD_TOP	C20	47.500000	27.250000	0.0	TCSCS1C685MAAR	TC3216
   SMD_TOP	C17	36.450000	9.300000	0.0	15pF	CC1608
   SMD_TOP	C19	40.350000	9.300000	180.0	15pF	CC1608
   SMD_TOP	C7	11.000000	33.000000	0.0	200pF	CC1608
   SMD_TOP	C8	11.000000	27.250000	0.0	680pF	CC1608
   SMD_TOP	C9	7.250000	19.500000	90.0	1nF	CC1608
   SMD_TOP	D1	12.500000	18.500000	270.0	BAT54	BAT54
   SMD_TOP	D2	7.250000	16.000000	0.0	BAT54	BAT54
  SMD_BOTTOM	D10	41.000000	13.000000	0.0	JSL_3528PGC	JSL-3528_ALT
  SMD_BOTTOM	D14	45.000000	41.000000	90.0	JSL_3528PGC	JSL-3528_ALT
  SMD_BOTTOM	D18	17.000000	45.000000	180.0	JSL_3528PGC	JSL-3528_ALT
  SMD_BOTTOM	D19	13.000000	17.000000	270.0	JSL_3528PGC	JSL-3528_ALT
   SMD_TOP	D11	47.250000	24.500000	0.0	MMSD4148T1G	SOD-123
   SMD_TOP	D15	45.500000	48.750000	270.0	MMSD4148T1G	SOD-123
   SMD_TOP	D16	41.500000	48.750000	90.0	MMSD4148T1G	SOD-123
   SMD_TOP	D17	47.750000	47.000000	90.0	MMSD4148T1G	SOD-123
   SMD_TOP	D5	43.500000	48.750000	270.0	MMSD4148T1G	SOD-123
  SMD_BOTTOM	D6	41.000000	45.000000	180.0	JSL_3528URC	JSL-3528_ALT
  SMD_BOTTOM	D7	45.000000	17.000000	90.0	JSL_3528URC	JSL-3528_ALT
  SMD_BOTTOM	D8	17.000000	13.000000	0.0	JSL_3528URC	JSL-3528_ALT
  SMD_BOTTOM	D9	13.000000	41.000000	270.0	JSL_3528URC	JSL-3528_ALT
 DIP_TOP	H1	6.500000	51.500000	0.0	PCB_HOLE	HOLE3_2
 DIP_TOP	H2	51.500000	51.500000	0.0	PCB_HOLE	HOLE3_2
 DIP_TOP	H3	6.500000	6.500000	0.0	PCB_HOLE	HOLE3_2
 DIP_TOP	H4	51.500000	6.500000	0.0	PCB_HOLE	HOLE3_2
DIP_BOTTOM	J3	19.500000	33.000000	270.0	A2001-WV03	A2001-WV03
   SMD_TOP	Q1	7.000000	36.000000	0.0	MMBT3906	SOT23
   SMD_TOP	Q10	15.000000	44.000000	0.0	MMBT3904	SOT23
   SMD_TOP	Q3	19.000000	44.000000	0.0	MMBT3904	SOT23
   SMD_TOP	Q4	3.000000	36.000000	180.0	MMBT3904	SOT23
   SMD_TOP	Q5	11.000000	44.000000	0.0	MMBT3904	SOT23
   SMD_TOP	Q6	7.000000	44.000000	0.0	MMBT3904	SOT23
   SMD_TOP	Q7	11.000000	36.000000	0.0	MMBT3904	SOT23
   SMD_TOP	Q9	39.000000	42.000000	180.0	MMBT3904	SOT23
   SMD_TOP	R1	18.125000	18.500000	0.0	510K	RC1608
