SCM																																																																						
001																																																																						
USM																																																																						
001	00004831	0	129	250	100	05	10	1																																																														
002	00004832	0	129	250	100	05	10	1																																																														
003	00004833	0	129	250	100	05	10	1																																																														
004	00004834	0	130	250	100	05	10	1																																																														
005	00004835	0	130	250	100	05	10	1																																																														
006	00004836	0	130	250	100	05	10	1																																																														
007	00004837	0	131	250	100	05	10	1																																																														
008	00004838	0	131	250	100	05	10	1																																																														
009	00004839	0	131	250	100	05	10	1																																																														
010	00004840	0	132	250	100	05	10	1																																																														
011	00004841	0	132	250	100	05	10	1																																																														
012	00004842	0	132	250	100	05	10	1																																																														
013	00004843	0	133	250	100	05	10	1																																																														
014	00004844	0	133	250	100	05	10	1																																																														
015	00004845	0	134	250	100	05	10	1																																																														
016	00004846	0	134	250	100	05	10	1																																																														
017	00004847	0	134	250	100	05	10	1																																																														
018	00004848	0	135	250	100	05	10	1																																																														
019	00004849	0	135	250	100	05	10	1																																																														
020	00004850	0	135	250	100	05	10	1																																																														
021	00004851	0	136	250	100	05	10	1																																																														
022	00004852	0	136	250	100	05	10	1																																																														
023	00004853	0	137	250	100	05	10	1																																																														
024	00004854	0	137	250	100	05	10	1																																																														
025	00004855	0	138	250	100	05	10	1																																																														
026	00004856	0	138	250	100	05	10	1																																																														
027	00004857	0	139	250	100	05	10	1																																																														
028	00004858	0	139	250	100	05	10	1																																																														
029	00004859	0	139	250	100	05	10	1																																																														
030	00004860	0	140	250	100	05	10	1																																																														
031	00004861	0	140	250	100	05	10	1																																																														
032	00004862	0	141	250	100	05	10	1																																																														
033	00004863	0	141	250	100	05	10	1																																																														
034	00004864	0	141	250	100	05	10	1																																																														
035	00004865	0	142	250	100	05	10	1																																																														
036	00004866	0	142	250	100	05	10	1																																																														
037	00004867	0	142	250	100	05	10	1																																																														
038	00004868	0	143	250	100	05	10	1																																																														
039	00004869	0	143	250	100	05	10	1																																																														
040	00004870	0	143	250	100	05	10	1																																																														
041	00004871	0	144	250	100	05	10	1																																																														
042	00004872	0	144	250	100	05	10	1																																																														
043	00070000	0	145	250	100	05	10	99																																																														
044	00070001	0	146	250	100	05	10	99																																																														
																																																																						
LGM																																																																						
129	00001671	0																																																																				
130	00001849	0																																																																				
131	00001672	0																																																																				
132	00001673	0																																																																				
133	00001674	0																																																																				
134	00001675	0																																																																				
135	00001676	0																																																																				
136	00001677	0																																																																				
137	00001678	0																																																																				
138	00001679	0																																																																				
139	00001680	0																																																																				
140	00001681	0																																																																				
141	00001682	0																																																																				
142	00001683	0																																																																				
143	00001684	0																																																																				
144	00001685	0																																																																				
145	70000	0																																																																				
146	70001	0																																																																				
        																																																																						
SCM     																																																																						
002																																																																						
USM     																																																																						
1	4873	0	129	250	100	5	10	1																																																														
2	4874	0	129	250	100	5	10	1																																																														
3	4875	0	129	250	100	5	10	1																																																														
4	4876	0	130	250	100	5	10	1																																																														
5	4877	0	130	250	100	5	10	1																																																														
6	4878	0	130	250	100	5	10	1																																																														
7	4879	0	131	250	100	5	10	1																																																														
8	4880	0	131	250	100	5	10	1																																																														
9	4881	0	131	250	100	5	10	1																																																														
10	4882	0	132	250	100	5	10	1																																																														
11	4883	0	132	250	100	5	10	1																																																														
12	4884	0	133	250	100	5	10	1																																																														
13	4885	0	133	250	100	5	10	1																																																														
14	4886	0	133	250	100	5	10	1																																																														
15	4887	0	134	250	100	5	10	1																																																														
16	4888	0	134	250	100	5	10	1																																																														
17	4889	0	135	250	100	5	10	1																																																														
18	4890	0	135	250	100	5	10	1																																																														
19	4891	0	135	250	100	5	10	1																																																														
20	4892	0	136	250	100	5	10	1																																																														
21	4893	0	136	250	100	5	10	1																																																														
22	4894	0	136	250	100	5	10	1																																																														
23	4895	0	137	250	100	5	10	1																																																														
24	4896	0	137	250	100	5	10	1																																																														
25	4897	0	137	250	100	5	10	1																																																														
26	4898	0	138	250	100	5	10	1																																																														
27	4899	0	138	250	100	5	10	1																																																														
28	4900	0	138	250	100	5	10	1																																																														
29	4901	0	139	250	100	5	10	1																																																														
30	4902	0	139	250	100	5	10	1																																																														
31	4903	0	139	250	100	5	10	1																																																														
32	4904	0	140	250	100	5	10	1																																																														
33	4905	0	140	250	100	5	10	1																																																														
34	4906	0	141	250	100	5	10	1																																																														
35	4907	0	141	250	100	5	10	1																																																														
36	4908	0	141	250	100	5	10	1																																																														
37	4909	0	142	250	100	5	10	1																																																														
38	4910	0	142	250	100	5	10	1																																																														
39	4911	0	142	250	100	5	10	1																																																														
40	4912	0	143	250	100	5	10	1																																																														
